KruKen TOEIC,18,2
KruDew TOEIC,19,3
KruTyme TOEFL,20,4
Chinese Buffet,21,5
KruPloy CU-TEP,22,6
M123 Buffet,23,7
New GorPor,24,8
BeamSensei Japanese,25,9
KruDew GorPor,26,10
KruView GorPor,27,11
KruDew Basic English,28,12
KruJeab Basic English,29,13
KruTyme SAT ENG,30,14
KruTyme TU-GET,65,15
KruView M3-4,32,16
KruView M123 EduGadgets,49,17
KruView M456,34,18
GorPor Hack,35,19
OpenDurian TCAS Buffet,40,20
Chinese EduGadgets,41,21
IELTS EduGadgets,42,22
KruDew TOEIC EduGadgets,43,23
KruDew TCAS คอร์สเดี่ยว,44,24
KruJeab Academic IELTS,45,25
KruJeab General IELTS,46,26
KruView M16,47,27
M123 EduGadgets,50,28
New GorPor EduGadgets,51,29
Platform,53,30
Shopee,54,31
Extream GoPro,56,32
OpenDurian M456 EduGadgets,57,33
OpenDurian M456 คอร์สเดี่ยว,52,34
KruTangmo,60,35
Shopee EduGadgets,58,36
KBE,62,37
Master Club,63,38
SIM Test,64,39
KruWan TCAS,66,40
Japanese EduGadgets,67,41
Japanese แบบคอร์ส,68,42
Shopee x Chinese EduGadgets,69,43
Shopee x IELTS EduGadgets,70,44
Shopee x Japanese EduGadgets,71,45
Shopee x KruDew TOEIC,72,46
Shopee x KruDew TOEIC EduGadgets,73,47
Shopee x KruJeab Academic IELTS,74,48
Shopee x New GorPor EduGadgets,75,49
Shopee x OpenDurian M456 EduGadgets,76,50
Shopee x Chinese Buffet,77,51
Shopee x KruDew Basic English,78,52
Shopping Ads X IELTS EduGadgets,81,53
Lazada X IELTS EduGadgets,84,54
Lazada X New GorPor EduGadgets,83,55
Lazada X Chinese EduGadgets,85,56
Lazada X KruDew TOEIC EduGadgets,86,57
Shopee X New GorPor,82,58
New GorPor ท้องถิ่น,90,61
SAT,89,60
Chinese Intensive Vocab,91,110
Shopee X Chinese Vocab,92,109
Post Production,93,108
Studio Service,94,107
B2B,95,106
Lazada X Chinese Vocab,99,105
Lazada X KruDew TOEIC,100,78
Shopee X CHINESE INTENSIVE VOCAB,101,73
Shopee X Japanese,102,74
Shopee X New GorPor ท้องถิ่น,103,72
CHINESE,104,104
Lazada X New GorPor ท้องถิ่น EduGadgets,105,80
Lazada X Japanese EduGadgets,106,82
Shopee X KruDew TCAS คอร์สเดี่ยว,107,103
Shopee X KruDew Basic English,108,102
Lazada x OpenDurian M456 EduGadgets,109,85
Shopee X SAT,110,69
OpenDurian Sheets X KruDew TOEIC,111,100
OpenDurian Sheets X OpenDurian TCAS Buffet,112,99
OpenDurian Sheets X New GorPor ท้องถิ่น,113,67
Shopee X KruJeab Basic English,114,71
KruSuilin Chinese,115,98
KruTyme Basic English,116,97
New GorPor ท้องถิ่น EduGadgets,117,59
Lazada X KruJeab Academic IELTS,118,96
OpenDurian Sheets X M123,119,95
KruArt TCAS,120,94
OpenDurian Sheets X KruView,121,64
edusync,122,93
Lazada X KruJeab Basic English,123,77
Lazada X CHINESE INTENSIVE VOCAB,124,79
หนังสือ&อื่นๆ,125,92
OpenDurian Sheets X KruJeab Academic IELTS,126,68
KruDew Basic English EduGadgets,127,65
Shopee X OpenDurian Sheets X KruJeab Academic IELTS,128,91
Shopee X KruDew Basic English EduGadgets,129,83
OpenDurian Sheets X New GorPor,130,66
Lazada X KruDew Basic English EduGadgets,131,84
OpenDurian Sheets X KruJeab General IELTS,132,89
KruLek TOEIC,133,88
OpenDurian Sheets X SAT,134,87
Shopee X KruJeab General IELTS,135,70
Lazada X New GorPor,136,76
KruJaiJai Chinese,137,86
Unknown,138,1
KruView,139,62
OpenDurian Sheet,140,63
Lazada X New GorPor ท้องถิ่น,141,75
Shopee X New GorPor ท้องถิ่น EduGadgets,142,81
OpenDurian,143,115
KruView M123,33,116
KruPeachy Basic English,144,117
TCAS Platform,145,118
OPD TOEIC,146,119
BE-Engineer,147,120
Compass Tutor,148,121
KruBoy SAT MATH,149,122
KruDome TOEIC,150,123
KruDome TOEFL,151,124
KruDome,152,125
KruNutty Japanese,153,126
M456 Platform,154,127
MindEnglish,155,128
KruTee Japanese,156,129
SAT EduGadgets,157,130
KruDew English Conversation,158,131
TOEIC Master Club,159,132
KruJang Basic English,160,133
KruAi Japanese,161,134
KruPloy CU-TEP EduGadgets,162,135
Admission,163,136
KruDome Basic English,164,137
KruJeab KruNokk CU-TEP & TU-GET,165,138
Lazada X KruDew Basic English,166,139
Shopee X OpenDurian M456 คอร์สเดี่ยว,167,140
KruJeab KruNokk CU-TEP,168,141
KruJeab KruNokk TU-GET,169,142
KruFilm TCAS,170,143
KruView M1-5,171,144
M123 Eng,172,145
M123 Sci,173,146
M123 Math,174,147
KruView Buffet,175,148
KruDew EduGadgets,178,149
Duolingo English Test,176,150
OpenDurian Sheets X Duolingo English Test,177,151
Tiktok X Chinese EduGadgets,179,152
TikTok x M123 EduGadget,180,160
Shopee X KruJeab KruNokk CU-TEP & TU-GET,181,153
Lazada X KruJeab KruNokk CU-TEP & TU-GET,182,154
Lazada X OpenDurian M456 คอร์สเดี่ยว,183,155
Lazada X KruJeab General IELTS,184,156
Lazada X SAT,185,157
Lazada x Chinese Buffet,186,158
Lazada X OpenDurian Sheets X KruJeab Academic IELTS,187,159
Tiktok X Chinese Buffet,188,162
Shopee X M123 EduGadgets,189,163
Lazada X M123 EduGadgets,190,164
Shopee X KruJeab KruNokk TU-GET,191,165
Lazada X KruJeab KruNokk TU-GET,192,166
OpenDurian Sheets X KruJeab & KruNokk CU-TEP & TU-GET,193,167
E-Commerce,194,168
Shopee X OpenDurian Sheets X New GorPor ท้องถิ่น,196,169
Lazada X OpenDurian Sheets X New GorPor ท้องถิ่น,197,170
Shopee X KruJeab KruNokk CU-TEP,198,172
KruJeab Basic English EduGadgets,199,173
Shopee X KruJeab Basic English EduGadgets,200,174
Lazada X KruJeab Basic English EduGadgets,201,175
KruNew HSK5 Chinese,202,176
Shopee X OpenDurian TCAS Buffet,204,177
Lazada X OpenDurian TCAS Buffet,205,178
Shopee X KruNew HSK5 Chinese,206,179
Lazada X KruNew HSK5 Chinese,207,180
Lazada X KruJeab KruNokk CU-TEP,203,181
Shopee X Duolingo English Test,208,182
Lazada X Duolingo English Test,209,183
Certificate Interhub,210,184
Opendurian Certificate,211,185
Lazada X KruView M123 EduGadgets,217,193
Shopee X KruView M123 EduGadgets,216,192
Lazada X OpenDurian TCAS Buffet,205,178
Shopee X E-Commerce,218,190
Shopee X New GorPor ท้องถิ่น EduGadgets,142,81
Shopee X Duolingo English Test,208,182